행정구역별(시군구),가구주의 성별,가구주의 연령별,항목,년도,가구수,시군구_TF,행정구역별(상세)
　　　강북구,계,합계,2세대가구-부부+한부모,2016,595.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,507.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-조부모+미혼손자녀,2016,252.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,460.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-기타,2016,5707.0,1,서울특별시  강북구
　　　강북구,계,합계,3세대가구-부부+미혼자녀+양친,2016,690.0,1,서울특별시  강북구
　　　강북구,계,합계,3세대가구-부부+미혼자녀+부친,2016,468.0,1,서울특별시  강북구
　　　강북구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2224.0,1,서울특별시  강북구
　　　강북구,계,합계,3세대가구-기타,2016,3139.0,1,서울특별시  강북구
　　　강북구,계,합계,4세대이상 가구,2016,36.0,1,서울특별시  강북구
　　　강북구,계,합계,1인가구,2016,36668.0,1,서울특별시  강북구
　　　강북구,계,합계,비친족가구,2016,1372.0,1,서울특별시  강북구
　　　도봉구,계,합계,일반가구,2016,125384.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-부부,2016,18814.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-부부+미혼형제자매,2016,127.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-부부+기타친인척,2016,35.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-가구주+미혼형제자매,2016,1443.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-가구주+기타친인척,2016,131.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1세대가구-기타,2016,698.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-부부+미혼자녀,2016,44815.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-부+미혼자녀,2016,3445.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-모+미혼자녀,2016,11751.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-부부+양친,2016,133.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-부부+한부모,2016,637.0,1,서울특별시  도봉구
